ContaCurto;ContaNome;ContaCompleto;Data;Historico;ContraPartida;Documento;Lote;Debito;Credito;SaldoAnterior;Saldo
00090;"Caixa Síndico";111020002;16/06/2025;"VR. DEB. C/C REF.DESPESAS COM COMBUSTIVEL";00113;"";129;70,00;0,00;0,00;-70,00;
00090;"Caixa Síndico";111020002;05/07/2025;"VR. DEB. C/C REF.ABASTECIMENTO";00201;"";130;0,00;70,00;0,00;0,00;
00113;"Caixa Econômica Federal ";111020004;02/01/2025;"VR.DEB.C/C PRO-LABORE SINDICO";477;"";124;0,00;2000,00;-15825,16;-13825,16;
00113;"Caixa Econômica Federal ";111020004;06/01/2025;"VR. DEB. C/C REF. MULTICAZ COMERCIO VAREJISTA LTDA NF 34.229 / IBITEXENXOVAIS LTDA NF 417.672";00181;"";124;0,00;190,87;-15825,16;-13634,29;
00113;"Caixa Econômica Federal ";111020004;06/01/2025;"VR. DEB. C/C REF.JOSE MARINHO DA PAZ NF 42";523;"";124;0,00;438,00;-15825,16;-13196,29;
00113;"Caixa Econômica Federal ";111020004;06/01/2025;"VR.DEB.C/C VT";00230;"";124;0,00;1468,80;-15825,16;-11727,49;
00113;"Caixa Econômica Federal ";111020004;06/01/2025;"VR.DEB.C/C REF.PAGTO.SALARIOS N/MES";00107;"";124;0,00;13208,75;-15825,16;1481,26;
00113;"Caixa Econômica Federal ";111020004;07/01/2025;"VR. DEB. C/C REF.GARRA DISTRIBUIDORA NF 5324";00189;"";124;0,00;59,43;-15825,16;1540,69;
00113;"Caixa Econômica Federal ";111020004;07/01/2025;"VR. DEB. C/C REF. CARVALHO ENGENHARIA LTDA";00201;"";124;0,00;120,00;-15825,16;1660,69;
00113;"Caixa Econômica Federal ";111020004;07/01/2025;"VR.DEB.C/C.REF.PAGTO SUPERMERCADO APOIO MINEIRO";00189;"";124;0,00;144,04;-15825,16;1804,73;
00113;"Caixa Econômica Federal ";111020004;07/01/2025;"VR.DEB.C/C CIA BRASILEIRA SOLUCOES E SERVICOS REF.CARTAO ALIMENTACAO";00021;"";124;0,00;1853,76;-15825,16;3658,49;
00113;"Caixa Econômica Federal ";111020004;07/01/2025;"VR.DEB.C/C HONORARIOS CONTABEIS N/MES";00188;"";124;0,00;2596,00;-15825,16;6254,49;
00113;"Caixa Econômica Federal ";111020004;08/01/2025;"VR. DEB. C/C REF.MOBILIADORA JOSE MARINHO DA PAZ - CIPO MOVEIS";00048;"";124;0,00;40,00;-15825,16;6294,49;
00113;"Caixa Econômica Federal ";111020004;08/01/2025;"VR. DEB. C/C REF. PETRO SERRA AUTO POSTO LTDA";00201;"";124;0,00;82,88;-15825,16;6377,37;
00113;"Caixa Econômica Federal ";111020004;08/01/2025;"VR.DEB.C/C FGTS MES 13/2024";00114;"";124;0,00;543,54;-15825,16;6920,91;
00113;"Caixa Econômica Federal ";111020004;08/01/2025;"VR.DEB.C/C REF.FERIAS DE WESLEY ADRIANO";00033;"";124;0,00;2483,84;-15825,16;9404,75;
00113;"Caixa Econômica Federal ";111020004;09/01/2025;"VR. DEB. C/C REF. REEMBOLSO UBER ENTREGADA DOCUMENTOS";00208;"";124;0,00;53,49;-15825,16;9458,24;
00113;"Caixa Econômica Federal ";111020004;09/01/2025;"VR. DEB. C/C REF.CORREIO";00182;"";124;0,00;73,20;-15825,16;9531,44;
00113;"Caixa Econômica Federal ";111020004;09/01/2025;"VR.DEB.C/C RECEITA ACORDO CF.PLANILHA";00019;"";124;0,00;336,86;-15825,16;9868,30;
00113;"Caixa Econômica Federal ";111020004;10/01/2025;"VR.DEB.C/C.REF.PAGTO SINDEAC PQM";115;"";124;0,00;84,00;-15825,16;9952,30;
00113;"Caixa Econômica Federal ";111020004;10/01/2025;"VR. DEB. C/C REF. SANTO POSTO LAGOA SANTA - COMERCIO DE COMBUSTIVEIS LTDA";00201;"";124;0,00;100,00;-15825,16;10052,30;
00113;"Caixa Econômica Federal ";111020004;10/01/2025;"VR. DEB. C/C REF. ALVARA DE FUNCIONAMENTO E LOCALIDADE";243;"";124;0,00;436,80;-15825,16;10489,10;
00113;"Caixa Econômica Federal ";111020004;10/01/2025;"VR.DEB.C/C.REF.PAGTO. SINDEAC PAF";00035;"";124;0,00;690,20;-15825,16;11179,30;
00113;"Caixa Econômica Federal ";111020004;13/01/2025;"VR. DEB. C/C REF.FRETE MINAS TEXTURAS LEONARDO RANGEL AMARAL GONCALVES LTDA NF 310";00048;"";124;0,00;20,00;-15825,16;11199,30;
00113;"Caixa Econômica Federal ";111020004;13/01/2025;"VR. DEB. C/C REF. JOAO CARLOS MARIA - ME NF: 584";00031;"";124;0,00;176,00;-15825,16;11375,30;
00113;"Caixa Econômica Federal ";111020004;13/01/2025;"VR. DEB. C/C REF. MINAS TEXTURAS / LEONARDO RANGEL AMARAL GONCALVES LTDA NF 310";00181;"";124;0,00;824,90;-15825,16;12200,20;
00113;"Caixa Econômica Federal ";111020004;14/01/2025;"VR.DEB.C/C FGTS MES";00114;"";124;0,00;1221,94;-15825,16;13422,14;
00113;"Caixa Econômica Federal ";111020004;15/01/2025;"VR.DEB.C/C.REF. SISTEMA PONTO TANGERINO";439;"";124;0,00;71,92;-15825,16;13494,06;
00113;"Caixa Econômica Federal ";111020004;15/01/2025;"VR. DEB. C/C REF.FRANCISCO GOMES";00048;"";124;0,00;300,00;-15825,16;13794,06;
00113;"Caixa Econômica Federal ";111020004;16/01/2025;"VR. DEB. C/C REF. REPARO DANO ESTRUTURAL MURO - WEVERTON COSME 1/2";00181;"";124;0,00;900,00;-15825,16;14694,06;
00113;"Caixa Econômica Federal ";111020004;17/01/2025;"VR.DEB.C/C CTA CEMIG N/MES";00206;"";124;0,00;166,34;-15825,16;14860,40;
00113;"Caixa Econômica Federal ";111020004;17/01/2025;"VR.DEB.C/C CTA CEMIG N/MES";00206;"";124;0,00;452,50;-15825,16;15312,90;
00113;"Caixa Econômica Federal ";111020004;17/01/2025;"VR. DEB. C/C REF. MINAS TEXTUAS LEONARDO RANGEL AMARAL GONCALVES LTDA NF 321";00181;"";124;0,00;472,45;-15825,16;15785,35;
00113;"Caixa Econômica Federal ";111020004;17/01/2025;"VR.DEB.C/C CTA CEMIG N/MES";00206;"";124;0,00;2600,22;-15825,16;18385,57;
00113;"Caixa Econômica Federal ";111020004;20/01/2025;"VR.DESC.IRRF S/SALARIOS N/MES.";00023;"";124;0,00;20,75;-15825,16;18406,32;
00113;"Caixa Econômica Federal ";111020004;20/01/2025;"VR.DEB.C/C PIS S/FOLHA PAGATO.";00018;"";124;0,00;152,75;-15825,16;18559,07;
00113;"Caixa Econômica Federal ";111020004;20/01/2025;"VR. DEB. C/C REF. FABIANA B. CARNEIRO - CARRETO SANTA CRUZ";00048;"";124;0,00;200,00;-15825,16;18759,07;
00113;"Caixa Econômica Federal ";111020004;20/01/2025;"VR. DEB. C/C REF. ERICK MATHEUS";00190;"";124;0,00;219,01;-15825,16;18978,08;
00113;"Caixa Econômica Federal ";111020004;20/01/2025;"VR.DEB.C/C REF.PAGATO.INSS";00112;"";124;0,00;5175,71;-15825,16;24153,79;
