ContaCurto;ContaNome;Data;Historico;Debito;Credito;SaldoAnterior;Saldo
90;Caixa Síndico;16/06/2025;VR. DEB. C/C REF.DESPESAS COM COMBUSTIVEL;70;0;0;-70
90;Caixa Síndico;05/07/2025;VR. DEB. C/C REF.ABASTECIMENTO;0;70;0;0
113;Caixa Econômica Federal ;02/01/2025;VR.DEB.C/C PRO-LABORE SINDICO;0;2000;-15825,16;-13825,16
113;Caixa Econômica Federal ;06/01/2025;VR. DEB. C/C REF. MULTICAZ COMERCIO VAREJISTA LTDA NF 34.229 / IBITEXENXOVAIS LTDA NF 417.672;0;190,87;-15825,16;-13634,29
113;Caixa Econômica Federal ;06/01/2025;VR. DEB. C/C REF.JOSE MARINHO DA PAZ NF 42;0;438;-15825,16;-13196,29
113;Caixa Econômica Federal ;06/01/2025;VR.DEB.C/C VT;0;1468,8;-15825,16;-11727,49
113;Caixa Econômica Federal ;06/01/2025;VR.DEB.C/C REF.PAGTO.SALARIOS N/MES;0;13208,75;-15825,16;1481,26
113;Caixa Econômica Federal ;07/01/2025;VR. DEB. C/C REF.GARRA DISTRIBUIDORA NF 5324;0;59,43;-15825,16;1540,69
113;Caixa Econômica Federal ;07/01/2025;VR. DEB. C/C REF. CARVALHO ENGENHARIA LTDA;0;120;-15825,16;1660,69
113;Caixa Econômica Federal ;07/01/2025;VR.DEB.C/C.REF.PAGTO SUPERMERCADO APOIO MINEIRO;0;144,04;-15825,16;1804,73
113;Caixa Econômica Federal ;07/01/2025;VR.DEB.C/C CIA BRASILEIRA SOLUCOES E SERVICOS REF.CARTAO ALIMENTACAO;0;1853,76;-15825,16;3658,49
113;Caixa Econômica Federal ;07/01/2025;VR.DEB.C/C HONORARIOS CONTABEIS N/MES;0;2596;-15825,16;6254,49
113;Caixa Econômica Federal ;08/01/2025;VR. DEB. C/C REF.MOBILIADORA JOSE MARINHO DA PAZ - CIPO MOVEIS;0;40;-15825,16;6294,49
113;Caixa Econômica Federal ;08/01/2025;VR. DEB. C/C REF. PETRO SERRA AUTO POSTO LTDA;0;82,88;-15825,16;6377,37
113;Caixa Econômica Federal ;08/01/2025;VR.DEB.C/C FGTS MES 13/2024;0;543,54;-15825,16;6920,91
113;Caixa Econômica Federal ;08/01/2025;VR.DEB.C/C REF.FERIAS DE WESLEY ADRIANO;0;2483,84;-15825,16;9404,75
113;Caixa Econômica Federal ;09/01/2025;VR. DEB. C/C REF. REEMBOLSO UBER ENTREGADA DOCUMENTOS;0;53,49;-15825,16;9458,24
113;Caixa Econômica Federal ;09/01/2025;VR. DEB. C/C REF.CORREIO;0;73,2;-15825,16;9531,44
113;Caixa Econômica Federal ;09/01/2025;VR.DEB.C/C RECEITA ACORDO CF.PLANILHA;0;336,86;-15825,16;9868,3
113;Caixa Econômica Federal ;10/01/2025;VR.DEB.C/C.REF.PAGTO SINDEAC PQM;0;84;-15825,16;9952,3
113;Caixa Econômica Federal ;10/01/2025;VR. DEB. C/C REF. SANTO POSTO LAGOA SANTA - COMERCIO DE COMBUSTIVEIS LTDA;0;100;-15825,16;10052,3
113;Caixa Econômica Federal ;10/01/2025;VR. DEB. C/C REF. ALVARA DE FUNCIONAMENTO E LOCALIDADE;0;436,8;-15825,16;10489,1
113;Caixa Econômica Federal ;10/01/2025;VR.DEB.C/C.REF.PAGTO. SINDEAC PAF;0;690,2;-15825,16;11179,3
113;Caixa Econômica Federal ;13/01/2025;VR. DEB. C/C REF.FRETE MINAS TEXTURAS LEONARDO RANGEL AMARAL GONCALVES LTDA NF 310;0;20;-15825,16;11199,3
113;Caixa Econômica Federal ;13/01/2025;VR. DEB. C/C REF. JOAO CARLOS MARIA - ME NF: 584;0;176;-15825,16;11375,3
113;Caixa Econômica Federal ;13/01/2025;VR. DEB. C/C REF. MINAS TEXTURAS / LEONARDO RANGEL AMARAL GONCALVES LTDA NF 310;0;824,9;-15825,16;12200,2
113;Caixa Econômica Federal ;14/01/2025;VR.DEB.C/C FGTS MES;0;1221,94;-15825,16;13422,14
113;Caixa Econômica Federal ;15/01/2025;VR.DEB.C/C.REF. SISTEMA PONTO TANGERINO;0;71,92;-15825,16;13494,06
113;Caixa Econômica Federal ;15/01/2025;VR. DEB. C/C REF.FRANCISCO GOMES;0;300;-15825,16;13794,06
113;Caixa Econômica Federal ;16/01/2025;VR. DEB. C/C REF. REPARO DANO ESTRUTURAL MURO - WEVERTON COSME 1/2;0;900;-15825,16;14694,06
113;Caixa Econômica Federal ;17/01/2025;VR.DEB.C/C CTA CEMIG N/MES;0;166,34;-15825,16;14860,4
113;Caixa Econômica Federal ;17/01/2025;VR.DEB.C/C CTA CEMIG N/MES;0;452,5;-15825,16;15312,9
113;Caixa Econômica Federal ;17/01/2025;VR. DEB. C/C REF. MINAS TEXTUAS LEONARDO RANGEL AMARAL GONCALVES LTDA NF 321;0;472,45;-15825,16;15785,35
113;Caixa Econômica Federal ;17/01/2025;VR.DEB.C/C CTA CEMIG N/MES;0;2600,22;-15825,16;18385,57
113;Caixa Econômica Federal ;20/01/2025;VR.DESC.IRRF S/SALARIOS N/MES.;0;20,75;-15825,16;18406,32
113;Caixa Econômica Federal ;20/01/2025;VR.DEB.C/C PIS S/FOLHA PAGATO.;0;152,75;-15825,16;18559,07
113;Caixa Econômica Federal ;20/01/2025;VR. DEB. C/C REF. FABIANA B. CARNEIRO - CARRETO SANTA CRUZ;0;200;-15825,16;18759,07
113;Caixa Econômica Federal ;20/01/2025;VR. DEB. C/C REF. ERICK MATHEUS;0;219,01;-15825,16;18978,08
113;Caixa Econômica Federal ;20/01/2025;VR.DEB.C/C REF.PAGATO.INSS;0;5175,71;-15825,16;24153,79
